URL,ACCION1,ACCION2,ACCION3
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,90+7,Abpfiff,präsentiert von
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,88,Wechsel bei Mersch,Michel Jacobs für Patrick Teixeira
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,87,2:3 Tor für Junglinster,Bousba Redwane
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,70,Wechsel bei Mersch,Paulo Vincente Mendes für Alison Martins
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,61,2:2 Tor für Mersch,Gullit Ramos
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,45+3,1:2 Tor für Mersch,Mohamed Baizidi
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,36,0:2 Tor für Junglinster,Rafael Machado
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,90+1,Duerch staark leeschtungen an der Jugend, der zweeter an dretter Equipe feiert den Anderso,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,90,Wechsel bei Medernach,Anderson Fernandes Barros für Pedro Miguel Ferro Bernardo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,90,3:0 Tor für Medernach,Sabin Yagremongo Komelo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,89,Foul um Sabin; 11m fir Miedernach,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,87,Tätlechkeet um Ferro geet net gesin,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,86,Großchance für Bissen,Mamadi Djalo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,84,Verletzungsbedengt Ennerbriechung,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,83,Großchance für Bissen,Mamadi Djalo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,83,Joel a Sabin am Strofraum mee kommen net zum Schoss,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,79,Wechsel bei Medernach,Noa Windal für Len Kneip
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,79,Schungwiessel beim Houss,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,77,2:0 Eigentor für Medernach,Marc Weis
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,76,Großchance für Medernach,Sabin Yagremongo Komelo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,74,Wechsel bei Medernach,Félix Maillet für Pedro Dos Santos
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,73,Djalo Kappball weit laanscht,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,73,... bei Miedernach mescht sech mam Maillet deen eischten fir een Wiessel bereed,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,72,Leschte Wiessel bei Bissen...,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,71,Wechsel bei Bissen,Miguel Fernandes für Andy Teixeira
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,68,Großchance für Medernach,Sabin Yagremongo Komelo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,68,Miedernach 4 Giel Kaarten, Bissen keng bis elo,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,65,Großchance für Medernach,Sabin Yagremongo Komelo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,65,Großchance für Medernach,Len Kneip
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,62,Distanzschoss Ferro weit laanscht,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,62,Kneip seng Pass an Mett op den Dammicco geet am leschten Moment ofgelenkt,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,62,Bissen kritt vill Freisteiss an der Strofraumgeigend,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,60,Paukenschlag an der Bundesliga, Wolfsburg huet den van Bommel virun Diir gesaat,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,60,Duebel Wiessel bei Bissen,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,59,Wechsel bei Bissen,Cristiano Pereira für Odair Alves Oliveira Junior
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,59,Wechsel bei Bissen,Marc Weis für Dany Goncalves
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,53,Großchance für Bissen,Mamadi Djalo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,49,Großchance für Medernach,Len Kneip
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,48,Virdrun goufen 2 Feeler un Miedernacher net gepaff,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,48,Großchance für Bissen,Mamadi Djalo
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,46,Großchance für Bissen,François Augusto
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,36,Iwert Fangnetz,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,30,Kleng Rangelei teschend Bukvic an Djalo,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,News 🤓📝,Ehrenpromotion: Remis im Topspiel, erste Pleite für Monnerich,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,77,Gelb für Bissen,Cristiano Pereira
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,71,Gelb für Bissen,Giuliano Jackson
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,60,Gelb für Medernach,Pedro Dos Santos
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,57,Gelb für Medernach,Tim Martins
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,46,Anpfiff zur 2. Halbzeit,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,45+1,Halbzeit,-
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,45,Gelb für Medernach,Ante Bukvic
https://www.fupa.net/match/fc-blo-waeiss-medernach-m1-fc-atert-bissen-m1-211024,40,Gelb für Medernach,Pedro Miguel Ferro Bernardo
